Worker ID,Problem,Age,Gender,Hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,55,41,50,34,33,other,Class,group_number
A8C3WNWRBWUXO,KP_2,48,male,right,high,50,4,5,4,75%,50%,10%,40%,0%,0%,0%,Non-Solver,4
A3FOKP72T5I4FR,KP_2,41,female,right,college,55,10,1,1,83%,30%,10%,30%,10%,10%,10%,Non-Solver,4
A2KLJKDG90K1PP,KP_2,53,male,right,degree,41,3,7,7,35%,10%,50%,10%,7%,10%,13%,Solver,4
A1A6P3VOR53H7D,KP_2,43,male,right,degree,34,5,5,10,17%,17%,27%,33%,12%,11%,0%,Non-Solver,4
AA8PZKO9XGCKO,KP_2,27,female,right,high,34,8,5,5,70%,5%,10%,9%,70%,5%,1%,Non-Solver,4
A2ZYUU30WYDYI0,KP_2,20,female,right,high,41,3,7,6,30%,20%,18%,32%,12%,12%,6%,Solver,4
A1T643M1P572AA,KP_2,39,male,both,high,41,7,1,2,80%,2%,50%,1%,2%,22%,23%,Solver,4
A248LF7KKHXZ14,KP_2,46,female,right,college,55,4,5,6,76%,50%,31%,1%,9%,9%,0%,Non-Solver,4
A1V2H0UF94ATWY,KP_2,60,male,right,high,41,3,5,5,70%,5%,80%,5%,5%,5%,0%,Solver,4
A3MWV912LNFD67,KP_2,37,female,right,high,55,5,10,10,15%,0%,0%,100%,0%,0%,0%,Non-Solver,4
A1P37ODJ8MY8UK,KP_2,22,male,left,college,41,6,5,4,20%,20%,5%,25%,15%,10%,25%,Solver,4
A1KS9LITOVPAT8,KP_2,34,male,right,high,41,8,1,4,9%,25%,0%,0%,0%,0%,75%,Solver,4
A27MMI9C2PSJA1,KP_2,44,female,right,degree,50,10,10,10,10%,25%,20%,20%,25%,10%,0%,Non-Solver,4
A8B5O56Q0YJXW,KP_2,40,male,right,degree,50,4,7,5,12%,15%,30%,15%,17%,17%,6%,Non-Solver,4
A30KYQGABO7JER,KP_2,35,female,right,college,34,5,3,7,15%,10%,50%,10%,10%,10%,10%,Non-Solver,4
AUIJG6RAF3ZXY,KP_2,37,male,right,degree,50,5,10,10,14%,10%,19%,20%,41%,10%,0%,Non-Solver,4
A1O8D22H0D03W1,KP_2,28,male,right,degree,41,8,4,4,48%,27%,3%,24%,6%,35%,5%,Solver,4
A32JEH06T23HDF,KP_2,26,female,left,college,41,7,6,6,60%,20%,40%,10%,10%,10%,10%,Solver,4
A2541C8MY0BYV3,KP_2,29,male,right,college,other,2,8,8,50%,22%,33%,11%,18%,8%,8%,Non-Solver,4
A3DHAM13WLSE9V,KP_2,23,male,right,high,41,5,3,5,50%,20%,20%,20%,20%,20%,0%,Solver,4
A3V2XCDF45VN9X,KP_2,44,male,right,degree,41,5,8,8,5%,15%,30%,15%,15%,25%,0%,Solver,4
ALKQPW0O9C98N,KP_2,46,female,right,college,55,4,4,3,75%,80%,13%,2%,2%,2%,1%,Non-Solver,4
A16G6PPH1INQL8,KP_2,52,female,right,college,41,1,5,4,40%,10%,10%,10%,10%,10%,50%,Solver,4
A13FUEPWBCLBUY,KP_2,36,male,right,degree,41,7,8,9,20%,10%,35%,12%,15%,15%,13%,Solver,4
A3R5OJR60C6004,KP_2,45,male,right,college,41,6,6,6,45%,15%,36%,10%,25%,8%,6%,Solver,4
ACWVHNV57A8IJ,KP_2,28,male,right,degree,50,10,5,5,50%,10%,70%,10%,5%,5%,0%,Non-Solver,4
A114JRUBJ5IN7D,KP_2,22,male,right,high,41,10,4,6,25%,30%,15%,30%,15%,5%,5%,Solver,4
A2RTJ6BDY0DZVZ,KP_2,55,female,right,college,55,5,5,7,60%,70%,0%,30%,0%,0%,0%,Non-Solver,4
A2B3THVUZEW1AL,KP_2,34,male,right,college,41,7,5,5,70%,16%,14%,23%,19%,28%,0%,Solver,4
AIH3QEU3564PA,KP_2,28,male,right,degree,41,4,3,4,68%,15%,20%,60%,4%,1%,0%,Solver,4
A3F90N8YVKJ4I7,KP_2,41,male,right,college,41,6,1,3,20%,2%,60%,2%,5%,10%,21%,Solver,5
A3O0QZQ4V2IXT7,KP_2,45,female,right,college,50,7,7,6,58%,10%,44%,22%,9%,9%,6%,Non-Solver,5
A28T38MOUG43YD,KP_2,24,male,right,high,41,8,4,4,40%,10%,90%,0%,0%,0%,0%,Solver,5
AYKZ9H4BNW810,KP_2,31,male,right,college,41,6,3,5,35%,10%,50%,10%,10%,10%,10%,Solver,5
A4IH4CO046EV3,KP_2,40,male,right,college,41,9,3,6,66%,11%,44%,2%,15%,20%,8%,Solver,5
A32LHQYJY0ELFS,KP_2,30,female,right,degree,50,8,7,9,30%,20%,20%,40%,10%,10%,0%,Non-Solver,5
