Worker ID,Problem,Age,Gender,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,Less than 7 moves,7 moves,8 moves,9 moves,10 moves,More than 10 moves,Class,group_number
A10249252O9I20MRSO,RH1,56,Female,High School/GED,9 moves,8,3,3,99%,0%,0%,20%,70%,10%,0%,Non-Solver,84
A110KENBXU7SUJ,RH1,47,Male,High School/GED,8 moves,9,3,5,88%,5%,10%,65%,10%,5%,5%,Solver,84
A12ASB8854TT4,RH1,33,Male,High School/GED,9 moves,7,2,2,90%,5%,15%,20%,30%,20%,10%,Non-Solver,84
A142G97TKHM9BL,RH1,47,Female,Graduate Degree,More than 10 moves,8,2,2,70%,0%,0%,0%,0%,0%,100%,Non-Solver,84
A1BPBUD67XIJXM,RH1,31,Female,High School/GED,More than 10 moves,7,7,5,80%,10%,20%,30%,30%,5%,5%,Non-Solver,84
A1DIKLERUZ5WS0,RH1,29,Male,Graduate Degree,7 moves,9,2,6,90%,25%,30%,15%,10%,10%,10%,Non-Solver,84
A1F9KLZGHE9DTA,RH1,45,Male,High School/GED,Less than 7 moves,9,2,3,70%,50%,30%,10%,5%,4%,1%,Non-Solver,84
A1FDT9TI1EUTUT,RH1,47,Female,Graduate Degree,10 moves,8,9,8,90%,10%,10%,10%,10%,50%,10%,Non-Solver,84
A1K2A46I18MO46,RH1,35,Male,Graduate Degree,More than 10 moves,10,1,3,70%,5%,5%,25%,20%,5%,40%,Non-Solver,84
A1OUUZSD5DD4ZN,RH1,47,Female,College,8 moves,8,1,1,100%,0%,0%,80%,10%,10%,0%,Solver,84
A1P37ODJ8MY8UK,RH1,22,Male,College,8 moves,7,2,2,80%,0%,10%,80%,5%,5%,0%,Solver,84
A1YT6E0W0SDP0R,RH1,43,Male,High School/GED,8 moves,6,1,1,100%,0%,0%,100%,0%,0%,0%,Solver,84
A23KAJRDVCVGOE,RH1,41,Male,High School/GED,8 moves,9,4,4,90%,10%,70%,10%,10%,0%,0%,Solver,84
A2541C8MY0BYV3,RH1,29,Male,College,8 moves,8,2,2,90%,0%,40%,50%,10%,0%,0%,Solver,84
A2LPDO04W2P4OW,RH1,28,Female,College,More than 10 moves,10,8,8,80%,15%,25%,15%,10%,20%,15%,Non-Solver,84
A2Y2AZ8DBFU47Q,RH1,26,Female,College,9 moves,7,3,4,5%,5%,20%,25%,40%,5%,5%,Non-Solver,84
A30KYQGABO7JER,RH1,35,Female,College,8 moves,5,2,6,30%,10%,10%,30%,10%,10%,30%,Solver,84
A37R0JYAB3QEX9,RH1,47,Male,High School/GED,7 moves,7,1,2,100%,0%,70%,20%,7%,3%,0%,Non-Solver,84
A3ABAYPIXFEJ7O,RH1,51,Male,College,8 moves,10,1,3,60%,0%,0%,50%,20%,20%,10%,Solver,84
A3VR4B1I5K2K86,RH1,47,Female,Graduate Degree,Less than 7 moves,8,1,5,85%,40%,15%,15%,10%,10%,10%,Non-Solver,84
A7D8NYR8B92VK,RH1,45,Male,Graduate Degree,8 moves,5,5,5,60%,30%,10%,50%,5%,5%,0%,Solver,84
AD175NX7MG25W,RH1,39,Male,Graduate Degree,10 moves,9,5,6,99%,10%,10%,10%,10%,10%,50%,Non-Solver,84
AJFO6Q9JBD48Q,RH1,30,Male,Graduate Degree,8 moves,10,4,3,100%,4%,6%,50%,20%,10%,10%,Solver,84
APS21FRK7TBKW,RH1,47,Female,College,8 moves,7,1,5,5%,20%,20%,20%,20%,0%,20%,Solver,84
AVBRJBJONL47I,RH1,45,Female,Graduate Degree,8 moves,8,2,2,90%,0%,10%,80%,10%,0%,0%,Solver,84
AXJ1PE87PD0KK,RH1,30,Female,Graduate Degree,8 moves,8,2,3,90%,10%,20%,40%,20%,6%,4%,Solver,84
A10JXOU89D5RXR,RH1,58,Female,College,7 moves,8,2,2,80%,20%,70%,10%,0%,0%,0%,Non-Solver,84
A147F5PJTHOB8A,RH1,43,Male,High School/GED,8 moves,1,3,6,60%,30%,10%,20%,10%,10%,20%,Solver,84
A15J42M6EC7Y1K,RH1,30,Male,College,8 moves,10,2,3,95%,0%,10%,85%,5%,0%,0%,Solver,84
A1FB5AD91CD1W0,RH1,27,Female,Graduate Degree,8 moves,6,2,3,30%,0%,5%,20%,20%,20%,35%,Solver,84
A1FKUZN5M2FSOP,RH1,55,Male,College,More than 10 moves,9,8,9,7%,5%,5%,5%,5%,5%,75%,Non-Solver,85
A1JJNB108BPMRN,RH1,59,Female,High School/GED,Less than 7 moves,5,6,4,80%,40%,40%,20%,0%,0%,0%,Non-Solver,85
A1QAWECOJYKVO4,RH1,38,Female,College,9 moves,8,3,5,98%,0%,0%,20%,30%,50%,0%,Non-Solver,85
A1ROEDVMTO9Y3X,RH1,50,Female,High School/GED,More than 10 moves,10,9,10,50%,20%,20%,20%,0%,20%,20%,Non-Solver,85
A1TBRQBLEJI3O5,RH1,50,Female,High School/GED,10 moves,7,7,8,25%,10%,25%,30%,20%,10%,5%,Non-Solver,85
A1U4O7W4F3TMS9,RH1,45,Male,Graduate Degree,9 moves,10,1,1,50%,7%,7%,8%,9%,10%,59%,Non-Solver,85
A1XXNB42VP10RB,RH1,22,Male,College,8 moves,8,3,3,90%,0%,0%,90%,10%,0%,0%,Solver,85
A230VUDYOCRZ4N,RH1,55,Female,College,9 moves,9,9,8,50%,10%,15%,20%,20%,20%,15%,Non-Solver,85
A272X64FOZFYLB,RH1,26,Male,College,8 moves,7,2,3,85%,10%,15%,30%,20%,15%,10%,Solver,85
A2BNOEYZ3VRW2R,RH1,68,Female,College,Less than 7 moves,9,2,3,99%,0%,84%,16%,0%,0%,0%,Non-Solver,85
A2FGKKWP33DFWS,RH1,51,Male,College,7 moves,6,7,7,5%,20%,50%,10%,10%,10%,0%,Non-Solver,85
A2SR85I8JMO1ZZ,RH1,27,Female,College,8 moves,9,2,2,85%,0%,0%,45%,10%,25%,20%,Solver,85
A2V27A9GZA1NR2,RH1,38,Male,College,7 moves,6,3,4,80%,10%,50%,20%,10%,5%,5%,Non-Solver,85
A37K1ICCYT6EU1,RH1,42,Female,Graduate Degree,8 moves,8,2,2,85%,3%,20%,60%,10%,5%,2%,Solver,85
A3DS5B06ZCD3E3,RH1,44,Male,High School/GED,8 moves,8,3,5,98%,5%,5%,75%,5%,5%,5%,Solver,85
A3L8LSM7V7KX3T,RH1,39,Male,High School/GED,10 moves,5,5,2,90%,0%,0%,5%,10%,55%,30%,Non-Solver,85
A3NAGZAFHCJ6V,RH1,29,Male,Graduate Degree,10 moves,10,1,10,90%,50%,10%,10%,10%,10%,10%,Non-Solver,85
A3SZF91DCOQPW3,RH1,36,Female,College,8 moves,7,7,7,30%,10%,20%,20%,30%,10%,10%,Solver,85
A3UP4PP3Z,RH1,31,Male,Graduate Degree,7 moves,9,1,2,90%,10%,20%,25%,15%,20%,10%,Non-Solver,85
