Worker ID,Problem,Age,Gender,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,Picture A,Picture B,Picture C,Picture D,Picture E,Picture F,Class,group_number
A10249252O9I20MRSO,RH_4,56,Female,High School/GED,Picture B,5,9,9,20%,15%,20%,15%,15%,20%,15%,Non-Solver,94
A110KENBXU7SUJ,RH_4,47,Male,High School/GED,Picture C,7,7,8,40%,15%,12%,40%,10%,13%,10%,Non-Solver,94
A12ASB8854TT4,RH_4,33,Male,High School/GED,Picture E,8,7,6,26%,5%,5%,30%,30%,20%,10%,Non-Solver,94
A142G97TKHM9BL,RH_4,47,Female,Graduate Degree,Picture A,8,2,2,85%,65%,5%,10%,10%,5%,5%,Non-Solver,94
A1BPBUD67XIJXM,RH_4,31,Female,High School/GED,Picture A,7,10,8,30%,50%,10%,10%,10%,10%,10%,Non-Solver,94
A1DIKLERUZ5WS0,RH_4,29,Male,Graduate Degree,Picture E,8,7,7,90%,10%,20%,20%,10%,30%,10%,Non-Solver,94
A1F9KLZGHE9DTA,RH_4,45,Male,High School/GED,Picture D,9,4,5,75%,5%,5%,5%,75%,5%,5%,Solver,94
A1FDT9TI1EUTUT,RH_4,47,Female,Graduate Degree,Picture C,8,7,5,85%,10%,10%,50%,10%,10%,10%,Non-Solver,94
A1K2A46I18MO46,RH_4,35,Male,Graduate Degree,Picture E,7,4,4,70%,10%,10%,30%,5%,40%,5%,Non-Solver,94
A1OUUZSD5DD4ZN,RH_4,47,Female,College,Picture C,10,1,1,100%,0%,0%,100%,0%,0%,0%,Non-Solver,94
A1P37ODJ8MY8UK,RH_4,22,Male,College,Picture D,10,3,4,80%,0%,0%,20%,80%,0%,0%,Solver,94
A1YT6E0W0SDP0R,RH_4,43,Male,High School/GED,Picture D,6,5,5,60%,5%,5%,5%,75%,5%,5%,Solver,94
A23KAJRDVCVGOE,RH_4,41,Male,High School/GED,Picture E,8,9,10,40%,30%,20%,20%,20%,0%,10%,Non-Solver,94
A2541C8MY0BYV3,RH_4,29,Male,College,Picture E,1,10,10,20%,10%,20%,20%,30%,10%,10%,Non-Solver,94
A2LPDO04W2P4OW,RH_4,28,Female,College,Picture D,10,7,8,85%,10%,20%,25%,10%,20%,15%,Solver,94
A2Y2AZ8DBFU47Q,RH_4,26,Female,College,Picture D,8,3,4,60%,10%,20%,10%,40%,10%,10%,Solver,94
A30KYQGABO7JER,RH_4,35,Female,College,Picture D,8,5,8,40%,10%,10%,10%,40%,10%,20%,Solver,94
A37R0JYAB3QEX9,RH_4,47,Male,High School/GED,Picture D,4,7,7,40%,5%,5%,30%,25%,10%,25%,Solver,94
A3ABAYPIXFEJ7O,RH_4,51,Male,College,Picture F,10,4,7,40%,0%,0%,0%,20%,20%,60%,Non-Solver,94
A3VR4B1I5K2K86,RH_4,47,Female,Graduate Degree,Picture C,7,8,7,85%,20%,15%,30%,15%,10%,10%,Non-Solver,94
A7D8NYR8B92VK,RH_4,45,Male,Graduate Degree,Picture D,5,5,5,60%,10%,20%,10%,50%,5%,5%,Solver,94
AD175NX7MG25W,RH_4,39,Male,Graduate Degree,Picture B,10,9,8,90%,10%,50%,10%,10%,10%,10%,Non-Solver,94
AJFO6Q9JBD48Q,RH_4,30,Male,Graduate Degree,Picture A,9,5,4,100%,50%,10%,10%,10%,10%,10%,Non-Solver,94
APS21FRK7TBKW,RH_4,47,Female,College,Picture C,5,5,5,50%,20%,20%,20%,20%,20%,0%,Non-Solver,94
