Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,1 mile,2 miles,3 miles,4 miles,5 miles,6 miles,7 miles,8 miles,9 miles,10 miles,11 miles,12 miles,Class,group_number
18,ThreeRobots,17,Male,Right,High School/GED,9 miles,3,7,8,10%,0%,0%,10%,5%,0%,35%,0%,15%,10%,5%,0%,20%,Non-Solver,7
17,ThreeRobots,29,Male,Right,College,10 miles,3,9,9,15%,0%,0%,0%,10%,20%,15%,5%,15%,10%,20%,0%,5%,Solver,7
16,ThreeRobots,22,Female,Right,College,6 miles,1,7,7,40%,5%,5%,10%,5%,5%,30%,5%,5%,5%,5%,5%,15%,Non-Solver,7
15,ThreeRobots,25,Male,Right,Graduate Degree,7 miles,1,9,8,5%,5%,5%,10%,10%,5%,5%,15%,15%,5%,5%,15%,5%,Non-Solver,7
14,ThreeRobots,26,Male,Right,College,10 miles,9,2,3,70%,0%,0%,0%,0%,0%,0%,0%,5%,10%,70%,10%,5%,Solver,7
13,ThreeRobots,27,Male,Right,Graduate Degree,10 miles,10,2,5,85%,0%,0%,0%,0%,5%,0%,0%,0%,5%,85%,5%,0%,Solver,7
12,ThreeRobots,25,Female,Right,Graduate Degree,10 miles,10,2,4,90%,0%,0%,0%,0%,0%,0%,0%,0%,10%,80%,10%,0%,Solver,7
11,ThreeRobots,28,Male,Right,Graduate Degree,10 miles,6,3,6,80%,0%,0%,0%,0%,0%,0%,0%,85%,5%,5%,5%,0%,Solver,7
10,ThreeRobots,29,Male,Right,High School/GED,10 miles,3,6,7,30%,0%,0%,5%,5%,5%,20%,10%,10%,10%,30%,5%,0%,Solver,7
9,ThreeRobots,36,Male,Right,Graduate Degree,10 miles,10,1,5,50%,0%,0%,0%,0%,0%,10%,10%,10%,10%,50%,5%,5%,Solver,7
8,ThreeRobots,26,Female,Right,College,7 miles,1,9,9,20%,10%,10%,10%,10%,10%,5%,5%,10%,10%,10%,5%,5%,Non-Solver,7
7,ThreeRobots,35,Female,Left,Graduate Degree,10 miles,10,8,9,25%,0%,0%,0%,5%,10%,10%,5%,10%,5%,40%,5%,10%,Solver,7
6,ThreeRobots,60,Male,Right,Graduate Degree,10 miles,10,2,5,60%,0%,0%,0%,0%,25%,15%,0%,0%,0%,60%,0%,0%,Solver,7
5,ThreeRobots,39,Female,Right,Graduate Degree,10 miles,4,5,8,60%,0%,0%,10%,0%,10%,10%,0%,0%,5%,60%,5%,0%,Solver,7
4,ThreeRobots,62,Female,Right,Graduate Degree,10 miles,10,2,6,80%,0%,0%,0%,0%,20%,0%,0%,0%,0%,80%,0%,0%,Solver,7
3,ThreeRobots,29,Female,Right,Graduate Degree,7 miles,1,10,8,35%,0%,10%,10%,10%,10%,15%,0%,5%,10%,10%,10%,10%,Non-Solver,7
2,ThreeRobots,28,Female,Right,Graduate Degree,6 miles,1,10,5,50%,5%,5%,10%,10%,10%,10%,10%,10%,10%,10%,5%,5%,Non-Solver,7
1,ThreeRobots,33,Male,Right,Graduate Degree,10 miles,10,2,5,45%,0%,0%,0%,0%,0%,10%,0%,10%,5%,45%,15%,15%,Solver,7
A2WHC086WNUQNB,ThreeRobots,53,Female,Right,College,5 miles,1,8,5,70%,10%,10%,20%,10%,20%,10%,5%,5%,5%,5%,0%,0%,Non-Solver,7
AMZV70TID53WY,ThreeRobots,26,Male,Right,College,7 miles,1,7,8,30%,10%,10%,0%,15%,0%,10%,0%,15%,0%,20%,0%,20%,Non-Solver,7
A147F5PJTHOB8A,ThreeRobots,42,Male,Right,High School/GED,3 miles,1,10,8,10%,15%,20%,10%,20%,15%,5%,5%,5%,5%,0%,0%,0%,Non-Solver,7
A1NZFJHVJ9CNTO,ThreeRobots,29,Male,Right,High School/GED,3 miles,7,5,5,70%,0%,0%,75%,0%,0%,0%,0%,0%,10%,5%,10%,0%,Non-Solver,7
