Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,80,90,100,200,300,400,500,Class,group_number
AJBOT9QX4WF9U,Bakery,36,Female,Both hands are equally strong,Graduate Degree,300,10,1,2,100%,0%,0%,0%,0%,100%,0%,0%,Non-Solver,13
A3C4Z92TK10YLG,Bakery,37,Female,Right,Graduate Degree,300,10,1,2,100%,0%,0%,0%,0%,100%,0%,0%,Non-Solver,13
A3IAGHFA00V6MY,Bakery,40,Male,Right,Graduate Degree,80,4,3,6,95%,50%,10%,5%,10%,10%,10%,5%,Non-Solver,13
A2GOYSTIL3LOV1,Bakery,45,Female,Right,Graduate Degree,100,8,4,7,45%,50%,0%,45%,0%,0%,0%,5%,Solver,13
A2G9QDQGHYWSYV,Bakery,27,Female,Right,College,80,8,8,5,70%,40%,10%,10%,10%,10%,10%,10%,Non-Solver,13
A12HWPFXQPITHD,Bakery,29,Male,Right,College,80,8,1,1,90%,90%,5%,5%,0%,0%,0%,0%,Non-Solver,13
A3K00L9I9L92BJ,Bakery,29,Female,Right,Graduate Degree,100,10,1,2,95%,0%,0%,85%,0%,0%,0%,15%,Solver,13
A2A4Q3XU50SBE2,Bakery,35,Male,Right,High School/GED,80,10,2,2,90%,90%,1%,1%,5%,1%,1%,1%,Non-Solver,13
A1GRPIBHW72HDU,Bakery,30,Male,Right,College,100,10,2,4,65%,30%,5%,65%,0%,0%,0%,0%,Solver,13
A107MHGX27KJLR,Bakery,29,Male,Right,Graduate Degree,80,10,7,6,90%,100%,0%,0%,0%,0%,0%,0%,Non-Solver,13
A7L5FHBFIVN0T,Bakery,45,Male,Right,Graduate Degree,80,10,3,4,65%,60%,5%,5%,5%,10%,15%,0%,Non-Solver,13
A3HZFB2JLF3JMY,Bakery,32,Male,Right,College,100,6,3,6,57%,35%,15%,15%,10%,10%,10%,5%,Solver,13
A1K35CNHGJEI9Q,Bakery,32,Male,Right,Graduate Degree,80,9,4,3,85%,20%,20%,10%,5%,15%,20%,10%,Non-Solver,13
AJFO6Q9JBD48Q,Bakery,30,Male,Right,Graduate Degree,500,9,5,3,85%,10%,5%,5%,5%,5%,5%,65%,Non-Solver,13
A3EM2M2S1VKR85,Bakery,40,Female,Right,Graduate Degree,80,10,5,5,80%,70%,20%,10%,0%,0%,0%,0%,Non-Solver,13
AIZ4C8S4DW2WG,Bakery,33,Female,Right,Graduate Degree,80,10,2,4,85%,85%,10%,5%,0%,0%,0%,0%,Non-Solver,13
A28J7H4TH29DC3,Bakery,49,Female,Right,College,500,10,2,2,90%,10%,0%,0%,0%,0%,0%,90%,Non-Solver,13
ACZK4PTILUFAP,Bakery,30,Male,Right,High School/GED,80,10,1,5,50%,20%,15%,20%,20%,5%,10%,10%,Non-Solver,13
A1UEX245I12ZH7,Bakery,63,Female,Right,College,100,10,7,4,85%,5%,5%,85%,5%,0%,0%,0%,Solver,13
A6EOG99281TB3,Bakery,30,Male,Both hands are equally strong,Graduate Degree,300,8,6,7,80%,0%,0%,0%,5%,80%,15%,0%,Non-Solver,13
A3CASN6JG7104,Bakery,44,Male,Right,Graduate Degree,80,9,7,8,80%,50%,10%,15%,10%,5%,5%,5%,Non-Solver,13
AUAN582MLI96N,Bakery,41,Male,Right,Graduate Degree,80,10,1,2,90%,90%,5%,5%,0%,0%,0%,0%,Non-Solver,13
A38DHLB88V8DL8,Bakery,45,Female,Right,College,80,10,2,2,90%,90%,10%,0%,0%,0%,0%,0%,Non-Solver,13
A11BSFO4LMHPXQ,Bakery,42,Female,Right,College,80,9,2,3,60%,60%,15%,10%,5%,5%,5%,0%,Non-Solver,13
A19BXCY9Q8IZOK,Bakery,29,Male,Right,College,80,9,9,8,90%,70%,5%,5%,5%,5%,5%,5%,Non-Solver,13
A1M7H40V3FRIOX,Bakery,27,Male,Right,Graduate Degree,80,10,1,4,10%,15%,20%,10%,10%,10%,30%,5%,Non-Solver,13
A2BVVFXMQU8AC7,Bakery,36,Male,Right,College,80,9,3,5,65%,40%,15%,20%,5%,10%,5%,5%,Non-Solver,13
ACWVHNV57A8IJ,Bakery,28,Male,Right,Graduate Degree,100,10,6,6,40%,65%,10%,25%,0%,0%,0%,0%,Solver,13
A3BX2W07QY9NNG,Bakery,28,Male,Right,Graduate Degree,80,10,4,4,80%,25%,15%,15%,10%,10%,15%,10%,Non-Solver,13
AUFOO8PU2BK37,Bakery,38,Female,Right,College,80,10,5,4,85%,85%,5%,5%,5%,0%,0%,0%,Non-Solver,13
A30KYQGABO7JER,Bakery,35,Female,Right,College,100,10,3,5,55%,45%,5%,40%,0%,0%,0%,10%,Solver,14
A3PKTPXXORWR97,Bakery,26,Female,Right,Graduate Degree,100,9,2,5,20%,50%,30%,20%,0%,0%,0%,0%,Solver,14
A1C7XI68SED8JE,Bakery,37,Female,Left,College,100,10,3,3,90%,10%,0%,90%,0%,0%,0%,0%,Solver,14
A3SZF91DCOQPW3,Bakery,36,Female,Right,College,200,7,8,9,5%,30%,0%,0%,40%,0%,0%,30%,Non-Solver,14
A12A5GVJX5RZC4,Bakery,39,Male,Right,High School/GED,80,6,4,2,80%,80%,15%,5%,0%,0%,0%,0%,Non-Solver,14
A1F9KLZGHE9DTA,Bakery,45,Male,Right,High School/GED,80,10,1,1,80%,80%,0%,5%,0%,0%,5%,10%,Non-Solver,14
A1I72NHC21347A,Bakery,55,Female,Right,High School/GED,80,10,1,3,80%,70%,15%,15%,0%,0%,0%,0%,Non-Solver,14
AYW62R027PUT1,Bakery,45,Male,Right,College,80,8,5,5,40%,40%,25%,15%,5%,5%,5%,5%,Non-Solver,14
A32LHQYJY0ELFS,Bakery,30,Female,Right,Graduate Degree,80,10,3,7,40%,40%,20%,20%,20%,0%,0%,0%,Non-Solver,14
A3KF6O09H04SP7,Bakery,36,Male,Right,College,80,8,3,3,85%,85%,10%,5%,0%,0%,0%,0%,Non-Solver,14
A1O8D22H0D03W1,Bakery,28,Male,Right,Graduate Degree,80,10,2,4,65%,65%,20%,10%,5%,0%,0%,0%,Non-Solver,14
AHALO0LU7AL0T,Bakery,27,Male,Right,College,80,10,5,7,80%,30%,15%,15%,10%,10%,10%,10%,Non-Solver,14
AX3N0BBAJ39GG,Bakery,30,Male,Right,College,80,10,1,5,60%,60%,5%,10%,10%,5%,5%,5%,Non-Solver,14
A1LBXBV4KZ952A,Bakery,27,Male,Right,Graduate Degree,400,4,4,6,20%,15%,15%,10%,10%,20%,10%,20%,Non-Solver,14
A3180VXVP8MOIH,Bakery,34,Female,Right,Graduate Degree,80,5,3,2,90%,70%,30%,0%,0%,0%,0%,0%,Non-Solver,14
