Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Psolve,1 second,1000 seconds,1 minute,1000 minutes,1 hour,1000 hours,2000 hours,1000000 hours,Infinity,There is no way to know without additional information,Class,group_number
AJW3PL5UDH4BP,CR_Conf,35,Male,Left,High School/GED,1000 hours,4,11-20%,0-10%,0-10%,11-20%,21-30%,21-30%,31-40%,31-40%,21-30%,31-40%,21-30%,Non-Solver,19
AJXUWIDZ3HTC6,CR_Conf,35,Male,Right,College,1 minute,3,21-30%,51-60%,31-40%,31-40%,41-50%,41-50%,51-60%,0-10%,0-10%,0-10%,0-10%,Non-Solver,19
AJZT40UH0HWQ3,CR_Conf,53,Male,Right,College,1000 hours,9,21-30%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,21-30%,0-10%,21-30%,11-20%,Non-Solver,19
AK1Q45RF8A87Z,CR_Conf,54,Female,Left,High School/GED,2000 hours,4,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,31-40%,11-20%,61-70%,61-70%,Non-Solver,19
AK3H5QRAROFGP,CR_Conf,31,Male,Right,College,There is no way to know without additional information,1,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,Non-Solver,19
AK77EA1UZ8KJG,CR_Conf,22,Male,Right,College,1000 minutes,7,31-40%,51-60%,31-40%,11-20%,11-20%,11-20%,11-20%,0-10%,0-10%,0-10%,0-10%,Non-Solver,19
AK81F0NOBFJS3,CR_Conf,34,Male,Right,College,There is no way to know without additional information,6,31-40%,0-10%,21-30%,11-20%,11-20%,21-30%,0-10%,0-10%,0-10%,11-20%,21-30%,Non-Solver,19
AKE13X5TTBPLC,CR_Conf,23,Female,Right,College,1 hour,9,71-80%,41-50%,51-60%,31-40%,41-50%,71-80%,41-50%,51-60%,61-70%,61-70%,61-70%,Solver,19
AKJ22H1NTVIQX,CR_Conf,55,Male,Right,High School/GED,Infinity,6,0-10%,0-10%,11-20%,31-40%,21-30%,51-60%,31-40%,31-40%,11-20%,41-50%,21-30%,Non-Solver,19
A5DUYL6LHBXE0,CR_Conf,36,Male,Right,Graduate Degree,1 hour,7,61-70%,51-60%,61-70%,51-60%,41-50%,61-70%,51-60%,51-60%,41-50%,61-70%,61-70%,Solver,19
A5I5153ANR10V,CR_Conf,29,Female,Right,College,There is no way to know without additional information,10,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,21-30%,41-50%,41-50%,Non-Solver,19
A5M58TUNBG0PV,CR_Conf,34,Male,Both hands are equally strong,College,Infinity,3,11-20%,81-90%,71-80%,41-50%,31-40%,21-30%,21-30%,31-40%,51-60%,41-50%,81-90%,Non-Solver,19
AKPXWXJFLHM08,CR_Conf,27,Male,Right,Graduate Degree,1000 seconds,9,61-70%,11-20%,51-60%,31-40%,21-30%,21-30%,21-30%,31-40%,41-50%,0-10%,0-10%,Non-Solver,19
AKWIRTRUXO6R5,CR_Conf,44,Male,Right,College,Infinity,6,0-10%,0-10%,11-20%,21-30%,31-40%,41-50%,51-60%,61-70%,71-80%,81-90%,81-90%,Non-Solver,19
AKZD89B2WLSX7,CR_Conf,49,Female,Right,College,There is no way to know without additional information,1,31-40%,0-10%,11-20%,11-20%,21-30%,21-30%,31-40%,41-50%,41-50%,61-70%,71-80%,Non-Solver,19
AL2546ZT0KV1Z,CR_Conf,25,Female,Right,Graduate Degree,1 hour,7,11-20%,0-10%,0-10%,41-50%,51-60%,41-50%,61-70%,41-50%,61-70%,41-50%,51-60%,Solver,19
AL83KKXUORS9Y,CR_Conf,60,Female,Right,High School/GED,2000 hours,1,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,11-20%,0-10%,0-10%,0-10%,Non-Solver,19
ALARJPFSEZGGI,CR_Conf,36,Male,Right,College,There is no way to know without additional information,7,41-50%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,11-20%,41-50%,Non-Solver,19
ALDQRWYZ8KQ9A,CR_Conf,41,Male,Right,College,1000 hours,1,21-30%,0-10%,11-20%,0-10%,21-30%,11-20%,21-30%,11-20%,0-10%,11-20%,0-10%,Non-Solver,19
ALF6OOKP0XSE8,CR_Conf,44,Female,Right,College,1 hour,7,21-30%,0-10%,0-10%,0-10%,0-10%,11-20%,0-10%,0-10%,0-10%,0-10%,0-10%,Solver,19
ALF9AAZGQP4K5,CR_Conf,31,Male,Right,College,2000 hours,7,31-40%,0-10%,0-10%,0-10%,11-20%,0-10%,21-30%,21-30%,11-20%,21-30%,11-20%,Non-Solver,19
ALMXTU647ULDU,CR_Conf,69,Male,Right,College,1000 hours,7,11-20%,0-10%,11-20%,11-20%,11-20%,11-20%,21-30%,11-20%,0-10%,31-40%,41-50%,Non-Solver,19
ALNWK6Z0JZ7JS,CR_Conf,28,Female,Both hands are equally strong,Graduate Degree,1 minute,4,0-10%,0-10%,0-10%,31-40%,21-30%,21-30%,11-20%,0-10%,0-10%,51-60%,71-80%,Non-Solver,19
ALUKD738FTTZW,CR_Conf,44,Male,Right,Graduate Degree,Infinity,10,81-90%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,0-10%,41-50%,41-50%,Non-Solver,19
ALW6G6Z52AJ5D,CR_Conf,38,Female,Right,Graduate Degree,There is no way to know without additional information,5,31-40%,0-10%,0-10%,0-10%,21-30%,51-60%,31-40%,31-40%,11-20%,41-50%,51-60%,Non-Solver,19
ALZDJ7DBWN919,CR_Conf,32,Female,Right,College,1 hour,10,21-30%,0-10%,0-10%,0-10%,0-10%,21-30%,0-10%,0-10%,0-10%,21-30%,41-50%,Solver,19
