Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,"BFRP, AUIE, GNDC","BFGP, AUIE, RNDC","AERP, BGCD, FUIN","CNRP, AGDS, EIOT","BNPR, ACDF, EIUG","ANPR, BCDF, EIUG",Class,group_number
18,LettersDice,17,Male,Right,High School/GED,"BNPR, ACDF, EIUG",10,4,6,0.4,0.1,0.2,0.15,0.05,0.4,0.1,Solver,60
17,LettersDice,29,Male,Right,College,"BNPR, ACDF, EIUG",10,4,5,0.7,0.0,0.05,0.15,0.05,0.7,0.05,Solver,60
16,LettersDice,22,Female,Right,College,"BNPR, ACDF, EIUG",10,1,1,0.85,0.0,0.0,0.0,0.0,1.0,0.0,Solver,60
15,LettersDice,25,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",1,3,7,0.05,0.15,0.15,0.15,0.15,0.2,0.2,Solver,60
14,LettersDice,26,Male,Right,College,"BNPR, ACDF, EIUG",5,4,7,0.7,0.3,0.0,0.0,0.0,0.7,0.0,Solver,60
13,LettersDice,27,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,5,8,0.5,0.2,0.05,0.05,0.05,0.5,0.15,Solver,60
12,LettersDice,25,Female,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,6,7,0.8,0.1,0.1,0.1,0.1,0.5,0.1,Solver,60
11,LettersDice,28,Male,Right,Graduate Degree,"ANPR, BCDF, EIUG",10,1,5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Non-Solver,60
10,LettersDice,29,Male,Right,High School/GED,"BNPR, ACDF, EIUG",10,2,4,0.6,0.2,0.0,0.0,0.0,0.6,0.2,Solver,60
9,LettersDice,36,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,1,5,0.6,0.3,0.05,0.05,0.05,0.5,0.05,Solver,60
8,LettersDice,26,Female,Right,College,"AERP, BGCD, FUIN",1,9,8,0.15,0.15,0.1,0.15,0.2,0.2,0.2,Non-Solver,60
7,LettersDice,35,Female,Left,Graduate Degree,"BNPR, ACDF, EIUG",10,2,5,0.5,0.1,0.1,0.1,0.1,0.5,0.1,Solver,60
6,LettersDice,60,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,2,3,0.6,0.05,0.05,0.1,0.1,0.6,0.1,Solver,60
5,LettersDice,39,Female,Right,Graduate Degree,"BFRP, AUIE, GNDC",6,8,8,0.4,0.3,0.25,0.15,0.1,0.15,0.05,Non-Solver,60
4,LettersDice,62,Female,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,4,6,0.8,0.0,0.0,0.0,0.2,0.8,0.0,Solver,60
3,LettersDice,29,Female,Right,Graduate Degree,"BFRP, AUIE, GNDC",1,2,3,0.3,0.2,0.2,0.1,0.1,0.2,0.2,Non-Solver,60
2,LettersDice,28,Female,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,3,2,0.75,0.05,0.05,0.05,0.05,0.75,0.05,Solver,60
1,LettersDice,33,Male,Right,Graduate Degree,"BNPR, ACDF, EIUG",10,3,4,0.75,0.05,0.05,0.05,0.05,0.75,0.05,Solver,60
A2WHC086WNUQNB,LettersDice,53,Female,Right,College,"AERP, BGCD, FUIN",1,10,10,0.1,0.2,0.2,0.2,0.2,0.1,0.1,Non-Solver,60
AMZV70TID53WY,LettersDice,26,Male,Right,College,"BFRP, AUIE, GNDC",3,4,4,0.4,0.25,0.25,0.15,0.15,0.15,0.05,Non-Solver,60
A147F5PJTHOB8A,LettersDice,42,Male,Right,High School/GED,"BNPR, ACDF, EIUG",1,10,10,0.15,0.2,0.1,0.15,0.3,0.15,0.1,Solver,60
A1NZFJHVJ9CNTO,LettersDice,29,Male,Right,High School/GED,"BFRP, AUIE, GNDC",10,1,1,0.9,0.9,0.05,0.05,0.0,0.0,0.0,Non-Solver,60
AO46MWFKLP3ZN,LettersDice,30,Male,Right,Graduate Degree,"AERP, BGCD, FUIN",10,1,5,0.5,0.1,0.1,0.5,0.05,0.15,0.1,Non-Solver,60
