Worker ID,Problem,Age,Gender,Strong hand,Education,Answer,Confidence,Subjective Difficulty,Objective Difficutly,Psolve,a1,a2,a3,a4,Class,group_number
18,Traveler,17,Male,Right,High School/GED,a4,8,2,3,0.75,0.3,0.25,0.1,0.35,Non-Solver,81
17,Traveler,29,Male,Right,College,a4,8,3,5,0.6,0.15,0.25,0.05,0.55,Non-Solver,81
16,Traveler,22,Female,Right,College,a1,5,6,6,0.35,0.5,0.1,0.3,0.1,Non-Solver,81
15,Traveler,25,Male,Right,Graduate Degree,a2,10,1,7,0.25,0.3,0.25,0.2,0.25,Solver,81
14,Traveler,26,Male,Right,College,a2,8,6,3,0.65,0.1,0.6,0.0,0.3,Solver,81
13,Traveler,27,Male,Right,Graduate Degree,a4,10,7,9,0.3,0.05,0.4,0.25,0.3,Non-Solver,81
12,Traveler,25,Female,Right,Graduate Degree,a4,6,6,8,0.45,0.1,0.3,0.15,0.45,Non-Solver,81
11,Traveler,28,Male,Right,Graduate Degree,a4,10,1,4,0.9,0.05,0.05,0.0,0.9,Non-Solver,81
10,Traveler,29,Male,Right,High School/GED,a4,6,3,5,0.5,0.1,0.3,0.1,0.5,Non-Solver,81
9,Traveler,36,Male,Right,Graduate Degree,a4,10,6,9,0.5,0.25,0.25,0.2,0.3,Non-Solver,81
8,Traveler,26,Female,Right,College,a2,2,8,7,0.4,0.4,0.4,0.1,0.1,Solver,81
7,Traveler,35,Female,Left,Graduate Degree,a4,6,5,5,0.6,0.05,0.25,0.1,0.6,Non-Solver,81
6,Traveler,60,Male,Right,Graduate Degree,a2,10,2,5,0.75,0.05,0.75,0.05,0.15,Solver,81
5,Traveler,39,Female,Right,Graduate Degree,a4,1,10,8,0.1,0.05,0.6,0.05,0.3,Non-Solver,81
4,Traveler,62,Female,Right,Graduate Degree,a2,3,4,7,0.25,0.3,0.25,0.2,0.25,Solver,81
3,Traveler,29,Female,Right,Graduate Degree,a3,5,8,7,0.7,0.0,0.25,0.7,0.05,Non-Solver,81
2,Traveler,28,Female,Right,Graduate Degree,a2,8,6,2,0.5,0.2,0.4,0.2,0.2,Solver,81
1,Traveler,33,Male,Right,Graduate Degree,a2,9,7,9,0.4,0.05,0.4,0.1,0.45,Solver,81
A2WHC086WNUQNB,Traveler,53,Female,Right,College,a2,6,7,5,0.5,0.1,0.45,0.2,0.25,Solver,81
AMZV70TID53WY,Traveler,26,Male,Right,College,a1,6,3,7,0.5,0.55,0.15,0.1,0.2,Non-Solver,81
A147F5PJTHOB8A,Traveler,42,Male,Right,High School/GED,a2,1,8,8,0.1,0.3,0.25,0.1,0.35,Solver,81
A1NZFJHVJ9CNTO,Traveler,29,Male,Right,High School/GED,a3,9,5,5,0.5,0.05,0.05,0.5,0.4,Non-Solver,81
AO46MWFKLP3ZN,Traveler,30,Male,Right,Graduate Degree,a3,10,1,5,0.5,0.2,0.2,0.5,0.1,Non-Solver,81
A39YK8LJ8O37OY,Traveler,33,Female,Right,Graduate Degree,a1,8,1,1,0.3,0.35,0.3,0.05,0.3,Non-Solver,81
AKF2CET7H6C5X,Traveler,32,Male,Right,Graduate Degree,a1,5,5,6,0.3,0.3,0.25,0.1,0.35,Non-Solver,81
